timestamp,cycle,z0_occ,z1_occ,z2_occ,z3_occ,algorithm,f1,f2,f3,f4,l1,l2,l3,l4,power_w,time_ms,sent_to_hw
2026-06-23T12:26:34.338002,1,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,1
2026-06-23T12:26:34.355256,1,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.09,0
2026-06-23T12:26:34.355592,1,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0
2026-06-23T12:26:34.356840,1,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,1.18,0
2026-06-23T12:26:37.619165,2,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:26:37.619255,2,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:37.619293,2,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:37.619975,2,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.64,0
2026-06-23T12:26:40.840479,3,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:26:40.840570,3,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:40.840613,3,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:40.841359,3,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.69,0
2026-06-23T12:26:44.092547,4,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:26:44.092645,4,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:44.092683,4,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:44.093588,4,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.85,0
2026-06-23T12:26:47.315509,5,0,0,0,0,Greedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.0,0.18,1
2026-06-23T12:26:47.325766,5,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.0,10.11,0
2026-06-23T12:26:47.398794,5,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,40.0,72.91,0
2026-06-23T12:26:47.399614,5,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.68,0
2026-06-23T12:26:50.631766,6,0,0,0,0,Greedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.0,0.12,1
2026-06-23T12:26:50.638777,6,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.0,6.85,0
2026-06-23T12:26:50.713088,6,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0,74.16,0
2026-06-23T12:26:50.713878,6,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.68,0
2026-06-23T12:26:53.928865,7,0,0,0,0,Greedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115.0,0.11,1
2026-06-23T12:26:53.937597,7,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40.0,8.61,0
2026-06-23T12:26:54.009967,7,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40.0,72.23,0
2026-06-23T12:26:54.010774,7,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.69,0
2026-06-23T12:26:57.241513,8,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:26:57.241603,8,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:57.241641,8,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:26:57.242333,8,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.64,0
2026-06-23T12:27:00.470111,9,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:27:00.470202,9,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:00.470242,9,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:00.471003,9,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.71,0
2026-06-23T12:27:03.685565,10,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:27:03.685655,10,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:03.685697,10,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:03.686395,10,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.65,0
2026-06-23T12:27:06.904729,11,0,0,0,0,Greedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,1
2026-06-23T12:27:06.904828,11,0,0,0,0,ILP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:06.904876,11,0,0,0,0,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
2026-06-23T12:27:06.905653,11,0,0,0,0,PPO,0,0,0,0,0,0,0,0,0,0.72,0
